epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1422.2,0.78146,0.44912,0.94767,0.9869,0.92857,0.98457,0.74256,0.94717,0.55307,1.00377,0.000403222,0.000403222,0.000403222
73,1438.48,0.76458,0.44207,0.93686,0.99202,0.92857,0.98476,0.73858,1.00116,0.57188,1.01776,0.00037895,0.00037895,0.00037895
74,1455.02,0.77527,0.44429,0.9368,0.96341,0.94045,0.9827,0.75783,0.96744,0.5512,0.99706,0.000355301,0.000355301,0.000355301
75,1472.7,0.78429,0.4415,0.93608,0.96358,0.94493,0.98336,0.7367,1.00281,0.55373,1.01923,0.000332298,0.000332298,0.000332298
76,1489.48,0.80388,0.44555,0.92529,0.9555,0.96429,0.98303,0.72512,0.99798,0.54764,1.0358,0.000309964,0.000309964,0.000309964
77,1503.75,0.7871,0.44911,0.92339,0.9616,0.96429,0.98204,0.76385,0.91385,0.52101,0.99289,0.000288321,0.000288321,0.000288321
78,1520.89,0.75505,0.43615,0.93638,0.96644,0.92857,0.98175,0.76254,0.94094,0.53824,0.9844,0.00026739,0.00026739,0.00026739
79,1537.18,0.76375,0.44049,0.9287,0.97085,0.92857,0.98022,0.73867,0.98061,0.5437,0.99962,0.000247192,0.000247192,0.000247192
80,1556.09,0.73773,0.42341,0.91336,0.98077,0.91063,0.98082,0.75931,0.88157,0.51046,0.96828,0.000227747,0.000227747,0.000227747
81,1572.18,0.76951,0.43213,0.93254,0.97146,0.89286,0.98026,0.76609,0.86724,0.50968,0.96438,0.000209073,0.000209073,0.000209073
82,1587.16,0.76567,0.42767,0.92462,0.97296,0.89286,0.97506,0.74818,0.94735,0.5524,0.98152,0.00019119,0.00019119,0.00019119
83,1602.34,0.729,0.41001,0.914,0.97276,0.89286,0.97382,0.74318,0.94152,0.55544,0.98908,0.000174115,0.000174115,0.000174115
84,1618.56,0.75476,0.44891,0.90623,0.97765,0.91071,0.97603,0.74769,0.91199,0.54239,0.98756,0.000157865,0.000157865,0.000157865
85,1635.28,0.73777,0.41879,0.93893,0.97549,0.91071,0.97444,0.75269,0.91622,0.53776,0.98468,0.000142456,0.000142456,0.000142456
86,1652.36,0.76143,0.43284,0.93725,0.93069,0.94643,0.97304,0.75564,0.92195,0.54465,0.98179,0.000127904,0.000127904,0.000127904
87,1670.65,0.74183,0.4198,0.92424,0.97566,0.91071,0.97124,0.75929,0.90321,0.54229,0.98192,0.000114221,0.000114221,0.000114221
88,1687.5,0.73179,0.4084,0.93661,0.97682,0.91071,0.9735,0.76363,0.89752,0.52987,0.98081,0.000101423,0.000101423,0.000101423
89,1701.58,0.68967,0.40187,0.89641,0.98109,0.92647,0.97455,0.76822,0.89506,0.52448,0.98023,8.95213e-05,8.95213e-05,8.95213e-05
90,1717.6,0.68862,0.3865,0.88043,0.9784,0.92857,0.97419,0.75347,0.90996,0.53183,0.98606,7.8528e-05,7.8528e-05,7.8528e-05
91,1746.29,0.67986,0.40004,0.89162,0.97516,0.92857,0.97501,0.75306,0.92123,0.53041,0.99078,6.8454e-05,6.8454e-05,6.8454e-05
92,1770.75,0.65299,0.38491,0.90794,0.98148,0.94625,0.97365,0.75005,0.92336,0.52854,0.98611,5.93093e-05,5.93093e-05,5.93093e-05
93,1793.48,0.66706,0.38393,0.91004,0.97326,0.94643,0.97306,0.758,0.92409,0.52438,0.98351,5.11027e-05,5.11027e-05,5.11027e-05
94,1815.31,0.65276,0.37508,0.88646,0.97313,0.94643,0.97302,0.76198,0.91478,0.52326,0.98105,4.38424e-05,4.38424e-05,4.38424e-05
95,1832.64,0.70283,0.38804,0.90226,0.97212,0.94643,0.97158,0.76385,0.89541,0.51444,0.97882,3.75356e-05,3.75356e-05,3.75356e-05
96,1851.84,0.63126,0.3552,0.85421,0.97232,0.94643,0.97192,0.75688,0.88512,0.51031,0.9759,3.21885e-05,3.21885e-05,3.21885e-05
97,1870.32,0.66774,0.3734,0.91688,0.97306,0.94643,0.97266,0.75882,0.87722,0.50916,0.97202,2.78064e-05,2.78064e-05,2.78064e-05
98,1887.15,0.65953,0.36509,0.89828,0.97357,0.94643,0.97169,0.75723,0.88097,0.51323,0.97423,2.43937e-05,2.43937e-05,2.43937e-05
99,1905.4,0.68347,0.37248,0.90131,0.97538,0.94643,0.97147,0.75917,0.88296,0.51894,0.97505,2.19535e-05,2.19535e-05,2.19535e-05
100,1918.1,0.64762,0.3579,0.88212,0.97531,0.94643,0.9721,0.75968,0.89311,0.52396,0.97815,2.04885e-05,2.04885e-05,2.04885e-05
